"No.","Time","Source","Destination","Protocol","Length","Info"
"15480","103.130882000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15481","103.130886000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15482","103.130887000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15483","103.130916000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15487","103.132550000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15488","103.132784000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15490","103.134303000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15491","103.134545000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15493","103.136350000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15494","103.136355000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15496","103.138204000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15497","103.138208000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15499","103.140185000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15500","103.140189000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15502","103.142026000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15503","103.142029000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15505","103.143903000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15506","103.144122000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15508","103.145805000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15510","103.146251000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15511","103.147787000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15512","103.147791000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15514","103.149609000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15516","103.149786000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15517","103.151575000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15518","103.151578000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15520","103.153427000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15522","103.153581000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15523","103.155411000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15524","103.155414000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15526","103.157336000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15527","103.157341000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15529","103.161436000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15530","103.161441000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15532","103.161751000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15533","103.161754000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15535","103.165143000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15537","103.165504000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15538","103.165506000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15539","103.165508000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15542","103.166881000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15543","103.166884000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15545","103.168758000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15546","103.168984000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15548","103.171016000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15550","103.171171000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15551","103.172573000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15553","103.172745000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15554","103.174472000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15556","103.174640000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15557","103.176381000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15559","103.176561000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15560","103.178203000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
