"No.","Time","Source","Destination","Protocol","Length","Info"
"241","2.343264000","203.219.219.145","192.168.1.105","TCP","74","https > 61247 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1440 SACK_PERM=1 TSval=1714097526 TSecr=473741099 WS=128"
"456","2.491119000","203.219.219.145","192.168.1.105","TCP","66","https > 61247 [ACK] Seq=1 Ack=238 Win=30080 Len=0 TSval=1714097689 TSecr=473741158"
"473","2.500604000","203.219.219.145","192.168.1.105","TLSv1.2","1494","Server Hello"
"474","2.500980000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"475","2.500983000","203.219.219.145","192.168.1.105","TLSv1.2","810","Certificate"
"550","2.535174000","203.219.219.145","192.168.1.105","TLSv1.2","376","New Session Ticket, Change Cipher Spec, Hello Request, Hello Request"
"561","2.573098000","203.219.219.145","192.168.1.105","TLSv1.2","282","Application Data"
"623","3.090838000","203.219.219.145","192.168.1.105","TCP","66","https > 61247 [ACK] Seq=4127 Ack=2333 Win=35072 Len=0 TSval=1714098304 TSecr=473741792"
"625","3.096278000","203.219.219.145","192.168.1.105","TLSv1.2","1494","Application Data"
"626","3.096984000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"627","3.096987000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"630","3.097309000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"631","3.098069000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"633","3.099031000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"635","3.099653000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"636","3.100391000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"638","3.101297000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"640","3.101966000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"641","3.102921000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"643","3.103869000","203.219.219.145","192.168.1.105","TLSv1.2","1494","Application Data"
"645","3.104849000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"646","3.105638000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"648","3.106579000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"650","3.107313000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"659","3.110446000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"661","3.111461000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"663","3.112453000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"664","3.113284000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"666","3.116248000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"668","3.116848000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"669","3.118091000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"671","3.118709000","203.219.219.145","192.168.1.105","TLSv1.2","1494","Application Data"
"673","3.119995000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"674","3.120898000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"676","3.121940000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"678","3.125082000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"679","3.125810000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"681","3.128305000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"682","3.128308000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"685","3.130844000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"686","3.130848000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"689","3.131140000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"691","3.131310000","203.219.219.145","192.168.1.105","TLSv1.2","1494","Application Data"
"692","3.132120000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"693","3.132122000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"696","3.132495000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"697","3.133319000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"698","3.133321000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"701","3.134127000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"702","3.134828000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"705","3.135737000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"707","3.136434000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"709","3.140633000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
"710","3.140637000","203.219.219.145","192.168.1.105","TCP","1494","[TCP segment of a reassembled PDU]"
