"No.","Time","Source","Destination","Protocol","Length","Info"
"491","9.574985000","74.125.109.147","10.0.0.94","TCP","74","443 > 49403 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1452 SACK_PERM=1 TSval=305615590 TSecr=432844976 WS=128"
"494","9.613787000","74.125.109.147","10.0.0.94","TCP","66","443 > 49403 [ACK] Seq=1 Ack=231 Win=30080 Len=0 TSval=305615628 TSecr=432845008"
"495","9.614197000","74.125.109.147","10.0.0.94","TLSv1.2","1506","Server Hello"
"496","9.614938000","74.125.109.147","10.0.0.94","TCP","1506","[TCP segment of a reassembled PDU]"
"498","9.615761000","74.125.109.147","10.0.0.94","TCP","1282","[TCP segment of a reassembled PDU]"
"500","9.616924000","74.125.109.147","10.0.0.94","TLSv1.2","616","Certificate"
"503","9.662778000","74.125.109.147","10.0.0.94","TLSv1.2","360","New Session Ticket, Change Cipher Spec, Hello Request, Hello Request"
"519","9.787164000","74.125.109.147","10.0.0.94","TCP","66","443 > 49403 [ACK] Seq=4941 Ack=1841 Win=33792 Len=0 TSval=305615799 TSecr=432845123"
"520","9.821096000","74.125.109.147","10.0.0.94","TCP","1458","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"522","9.821966000","74.125.109.147","10.0.0.94","TLSv1.2","1458","[TCP Out-Of-Order] Application Data"
"524","9.822799000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"530","9.824114000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"531","9.825021000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"532","9.825022000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"534","9.825777000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"536","9.826594000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"537","9.827249000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
"539","9.831048000","74.125.109.147","10.0.0.94","TCP","1458","[TCP segment of a reassembled PDU]"
